b3027300|	ADD X7, X6, X5
8322f37f|	MOVW 2047(X6), X5
8362f37f|	MOVWU 2047(X6), X5
b3027302|	MUL X7, X6, X5
b3127302|	MULH X7, X6, X5
b3227302|	MULHSU X7, X6, X5
b3327302|	MULHU X7, X6, X5
bb027302|	MULW X7, X6, X5
b3627300|	OR X7, X6, X5
93620380|	ORI $-2048, X6, X5
b3627302|	REM X7, X6, X5
b3727302|	REMU X7, X6, X5
bb627302|	REMW X7, X6, X5
a30f537e|	MOVB X5, 2047(X6)
afb26318|	SCD X6, (X7), X5
afb2631c|	SCD X6, (X7), X5
afb2631a|	SCD X6, (X7), X5
afa26318|	SCW X6, (X7), X5
afa2631c|	SCW X6, (X7), X5
afa2631a|	SCW X6, (X7), X5
a33f537e|	MOV X5, 2047(X6)
23105380|	MOVH X5, -2048(X6)
b3127300|	SLL X7, X6, X5
93124303|	SLLI $52, X6, X5
9b127301|	SLLIW $23, X6, X5
b3227300|	SLT X7, X6, X5
9322f37f|	SLTI $2047, X6, X5
93320380|	SLTIU $-2048, X6, X5
93321300|	SEQZ X6, X5
b3327300|	SLTU X7, X6, X5
33394001|	SNEZ X20, X18
b3527340|	SRA X7, X6, X5
93524343|	SRAI $52, X6, X5
9b526341|	SRAIW $22, X6, X5
bb527340|	SRAW X7, X6, X5
b3527300|	SRL X7, X6, X5
93524303|	SRLI $52, X6, X5
9b526301|	SRLIW $22, X6, X5
bb527300|	SRLW X7, X6, X5
b3027340|	SUB X7, X6, X5
b3026040|	NEG X6, X5
bb027340|	SUBW X7, X6, X5
a32f537e|	MOVW X5, 2047(X6)
b3427300|	XOR X7, X6, X5
9342f37f|	XORI $2047, X6, X5
93c2ffff|	NOT X31, X5
bb003108|	ADDUW X3, X2, X1
33a26220|	SH1ADD X6, X5, X4
bb239420|	SH1ADDUW X9, X8, X7
33c5c520|	SH2ADD X12, X11, X10
bb46f720|	SH2ADDUW X15, X14, X13
33e82821|	SH3ADD X18, X17, X16
bb695a21|	SH3ADDUW X21, X20, X19
1b9b7b09|	SLLIUW $23, X23, X22
33fcac41|	ANDN X26, X25, X24
b36dde41|	ORN X29, X28, X27
33cf1f40|	XNOR X1, X31, X30
13910160|	CLZ X3, X2
1b920260|	CLZW X5, X4
13931360|	CTZ X7, X6
1b941460|	CTZW X9, X8
13952560|	CPOP X11, X10
1b962660|	CPOPW X13, X12
33e7070b|	MAX X16, X15, X14
b378390b|	MAXU X19, X18, X17
33ca6a0b|	MIN X22, X21, X20
b35b9c0b|	MINU X25, X24, X23
139d4d60|	SEXTB X27, X26
139e5e60|	SEXTH X29, X28
3bcf0f08|	ZEXTH X31, X30
b3102060|	ROL X2, X0, X1
bb115260|	ROLW X5, X4, X3
33d38360|	ROR X8, X7, X6
9354a560|	RORI $10, X10, X9
9b55e660|	RORIW $14, X12, X11
bb56f760|	RORW X15, X14, X13
13d87828|	ORCB X17, X16
13d9896b|	REV8 X19, X18
339a6a49|	BCLR X22, X21, X20
931bfc48|	BCLRI $15, X24, X23
b35cbd49|	BEXT X27, X26, X25
13de8e48|	BEXTI $8, X29, X28
339f0f68|	BINV X0, X31, X30
9310016a|	BINVI $32, X2, X1
b3115228|	BSET X5, X4, X3
1393f32b|	BSETI $63, X7, X6
0000|	UNIMP
