b3027300|	add x5,x6,x7
57f60fcd|	vsetivli x12,31,e32,m1,ta,ma
57f6a580|	vsetvl	x12,x11,x10

# 31.7.4: Vector Unit-Stride Instructions
87010502|	vle8.v v3,(x10)
87010500|	vle8.v v3,(x10),v0.t
87510502|	vle16.v v3,(x10)
87510500|	vle16.v v3,(x10),v0.t
87610502|	vle32.v v3,(x10)
87610500|	vle32.v v3,(x10),v0.t
87710502|	vle64.v v3,(x10)
87710500|	vle64.v v3,(x10),v0.t
a7010502|	vse8.v v3,(x10)
a7010500|	vse8.v v3,(x10),v0.t
a7510502|	vse16.v v3,(x10)
a7510500|	vse16.v v3,(x10),v0.t
a7610502|	vse32.v v3,(x10)
a7610500|	vse32.v v3,(x10),v0.t
a7710502|	vse64.v v3,(x10)
a7710500|	vse64.v v3,(x10),v0.t
8701b502|	vlm.v v3,(x10)
a701b502|	vsm.v v3,(x10)


# 31.7.5: Vector Strided Instructions
8701b50a|	vlse8.v v3,(x10),x11
8701b508|	vlse8.v v3,(x10),x11,v0.t
8751b50a|	vlse16.v v3,(x10),x11
8751b508|	vlse16.v v3,(x10),x11,v0.t
8761b50a|	vlse32.v v3,(x10),x11
8761b508|	vlse32.v v3,(x10),x11,v0.t
8771b50a|	vlse64.v v3,(x10),x11
8771b508|	vlse64.v v3,(x10),x11,v0.t
a701b50a|	vsse8.v v3,(x10),x11
a701b508|	vsse8.v v3,(x10),x11,v0.t
a751b50a|	vsse16.v v3,(x10),x11
a751b508|	vsse16.v v3,(x10),x11,v0.t
a761b50a|	vsse32.v v3,(x10),x11
a761b508|	vsse32.v v3,(x10),x11,v0.t
a771b50a|	vsse64.v v3,(x10),x11
a771b508|	vsse64.v v3,(x10),x11,v0.t

# 31.7.6: Vector Indexed Instructions
87012506|	vluxei8.v v3,(x10),v2
87012504|	vluxei8.v v3,(x10),v2,v0.t
87512506|	vluxei16.v v3,(x10),v2
87512504|	vluxei16.v v3,(x10),v2,v0.t
87612506|	vluxei32.v v3,(x10),v2
87612504|	vluxei32.v v3,(x10),v2,v0.t
87712506|	vluxei64.v v3,(x10),v2
87712504|	vluxei64.v v3,(x10),v2,v0.t
8701250e|	vloxei8.v v3,(x10),v2
8701250c|	vloxei8.v v3,(x10),v2,v0.t
8751250e|	vloxei16.v v3,(x10),v2
8751250c|	vloxei16.v v3,(x10),v2,v0.t
8761250e|	vloxei32.v v3,(x10),v2
8761250c|	vloxei32.v v3,(x10),v2,v0.t
8771250e|	vloxei64.v v3,(x10),v2
8771250c|	vloxei64.v v3,(x10),v2,v0.t
a7012506|	vsuxei8.v v3,(x10),v2
a7012504|	vsuxei8.v v3,(x10),v2,v0.t
a7512506|	vsuxei16.v v3,(x10),v2
a7512504|	vsuxei16.v v3,(x10),v2,v0.t
a7612506|	vsuxei32.v v3,(x10),v2
a7612504|	vsuxei32.v v3,(x10),v2,v0.t
a7712506|	vsuxei64.v v3,(x10),v2
a7712504|	vsuxei64.v v3,(x10),v2,v0.t
a701250e|	vsoxei8.v v3,(x10),v2
a701250c|	vsoxei8.v v3,(x10),v2,v0.t
a751250e|	vsoxei16.v v3,(x10),v2
a751250c|	vsoxei16.v v3,(x10),v2,v0.t
a761250e|	vsoxei32.v v3,(x10),v2
a761250c|	vsoxei32.v v3,(x10),v2,v0.t
a771250e|	vsoxei64.v v3,(x10),v2
a771250c|	vsoxei64.v v3,(x10),v2,v0.t

# 31.7.7: Unit-stride Fault-Only-First Loads
07040503|	vle8ff.v v8,(x10)
07540503|	vle16ff.v v8,(x10)
07640503|	vle32ff.v v8,(x10)
07740503|	vle64ff.v v8,(x10)
07040501|	vle8ff.v v8,(x10),v0.t
07540501|	vle16ff.v v8,(x10),v0.t
07640501|	vle32ff.v v8,(x10),v0.t
07740501|	vle64ff.v v8,(x10),v0.t

# 31.7.8.1: Vector Unit-Stride Segment Loads and Stores
07040522|	vlseg2e8.v v8,(x10)
07540522|	vlseg2e16.v v8,(x10)
07640522|	vlseg2e32.v v8,(x10)
07740522|	vlseg2e64.v v8,(x10)
07040520|	vlseg2e8.v v8,(x10),v0.t
07540520|	vlseg2e16.v v8,(x10),v0.t
07640520|	vlseg2e32.v v8,(x10),v0.t
07740520|	vlseg2e64.v v8,(x10),v0.t
07040542|	vlseg3e8.v v8,(x10)
07540542|	vlseg3e16.v v8,(x10)
07640542|	vlseg3e32.v v8,(x10)
07740542|	vlseg3e64.v v8,(x10)
07040540|	vlseg3e8.v v8,(x10),v0.t
07540540|	vlseg3e16.v v8,(x10),v0.t
07640540|	vlseg3e32.v v8,(x10),v0.t
07740540|	vlseg3e64.v v8,(x10),v0.t
07040562|	vlseg4e8.v v8,(x10)
07540562|	vlseg4e16.v v8,(x10)
07640562|	vlseg4e32.v v8,(x10)
07740562|	vlseg4e64.v v8,(x10)
07040560|	vlseg4e8.v v8,(x10),v0.t
07540560|	vlseg4e16.v v8,(x10),v0.t
07640560|	vlseg4e32.v v8,(x10),v0.t
07740560|	vlseg4e64.v v8,(x10),v0.t
07040582|	vlseg5e8.v v8,(x10)
07540582|	vlseg5e16.v v8,(x10)
07640582|	vlseg5e32.v v8,(x10)
07740582|	vlseg5e64.v v8,(x10)
07040580|	vlseg5e8.v v8,(x10),v0.t
07540580|	vlseg5e16.v v8,(x10),v0.t
07640580|	vlseg5e32.v v8,(x10),v0.t
07740580|	vlseg5e64.v v8,(x10),v0.t
070405a2|	vlseg6e8.v v8,(x10)
075405a2|	vlseg6e16.v v8,(x10)
076405a2|	vlseg6e32.v v8,(x10)
077405a2|	vlseg6e64.v v8,(x10)
070405a0|	vlseg6e8.v v8,(x10),v0.t
075405a0|	vlseg6e16.v v8,(x10),v0.t
076405a0|	vlseg6e32.v v8,(x10),v0.t
077405a0|	vlseg6e64.v v8,(x10),v0.t
070405c2|	vlseg7e8.v v8,(x10)
075405c2|	vlseg7e16.v v8,(x10)
076405c2|	vlseg7e32.v v8,(x10)
077405c2|	vlseg7e64.v v8,(x10)
070405c0|	vlseg7e8.v v8,(x10),v0.t
075405c0|	vlseg7e16.v v8,(x10),v0.t
076405c0|	vlseg7e32.v v8,(x10),v0.t
077405c0|	vlseg7e64.v v8,(x10),v0.t
070405e2|	vlseg8e8.v v8,(x10)
075405e2|	vlseg8e16.v v8,(x10)
076405e2|	vlseg8e32.v v8,(x10)
077405e2|	vlseg8e64.v v8,(x10)
070405e0|	vlseg8e8.v v8,(x10),v0.t
075405e0|	vlseg8e16.v v8,(x10),v0.t
076405e0|	vlseg8e32.v v8,(x10),v0.t
077405e0|	vlseg8e64.v v8,(x10),v0.t
270c0522|	vsseg2e8.v v24,(x10)
275c0522|	vsseg2e16.v v24,(x10)
276c0522|	vsseg2e32.v v24,(x10)
277c0522|	vsseg2e64.v v24,(x10)
270c0520|	vsseg2e8.v v24,(x10),v0.t
275c0520|	vsseg2e16.v v24,(x10),v0.t
276c0520|	vsseg2e32.v v24,(x10),v0.t
277c0520|	vsseg2e64.v v24,(x10),v0.t
270c0542|	vsseg3e8.v v24,(x10)
275c0542|	vsseg3e16.v v24,(x10)
276c0542|	vsseg3e32.v v24,(x10)
277c0542|	vsseg3e64.v v24,(x10)
270c0540|	vsseg3e8.v v24,(x10),v0.t
275c0540|	vsseg3e16.v v24,(x10),v0.t
276c0540|	vsseg3e32.v v24,(x10),v0.t
277c0540|	vsseg3e64.v v24,(x10),v0.t
270c0562|	vsseg4e8.v v24,(x10)
275c0562|	vsseg4e16.v v24,(x10)
276c0562|	vsseg4e32.v v24,(x10)
277c0562|	vsseg4e64.v v24,(x10)
270c0560|	vsseg4e8.v v24,(x10),v0.t
275c0560|	vsseg4e16.v v24,(x10),v0.t
276c0560|	vsseg4e32.v v24,(x10),v0.t
277c0560|	vsseg4e64.v v24,(x10),v0.t
270c0582|	vsseg5e8.v v24,(x10)
275c0582|	vsseg5e16.v v24,(x10)
276c0582|	vsseg5e32.v v24,(x10)
277c0582|	vsseg5e64.v v24,(x10)
270c0580|	vsseg5e8.v v24,(x10),v0.t
275c0580|	vsseg5e16.v v24,(x10),v0.t
276c0580|	vsseg5e32.v v24,(x10),v0.t
277c0580|	vsseg5e64.v v24,(x10),v0.t
270c05a2|	vsseg6e8.v v24,(x10)
275c05a2|	vsseg6e16.v v24,(x10)
276c05a2|	vsseg6e32.v v24,(x10)
277c05a2|	vsseg6e64.v v24,(x10)
270c05a0|	vsseg6e8.v v24,(x10),v0.t
275c05a0|	vsseg6e16.v v24,(x10),v0.t
276c05a0|	vsseg6e32.v v24,(x10),v0.t
277c05a0|	vsseg6e64.v v24,(x10),v0.t
270c05c2|	vsseg7e8.v v24,(x10)
275c05c2|	vsseg7e16.v v24,(x10)
276c05c2|	vsseg7e32.v v24,(x10)
277c05c2|	vsseg7e64.v v24,(x10)
270c05c0|	vsseg7e8.v v24,(x10),v0.t
275c05c0|	vsseg7e16.v v24,(x10),v0.t
276c05c0|	vsseg7e32.v v24,(x10),v0.t
277c05c0|	vsseg7e64.v v24,(x10),v0.t
270c05e2|	vsseg8e8.v v24,(x10)
275c05e2|	vsseg8e16.v v24,(x10)
276c05e2|	vsseg8e32.v v24,(x10)
277c05e2|	vsseg8e64.v v24,(x10)
270c05e0|	vsseg8e8.v v24,(x10),v0.t
275c05e0|	vsseg8e16.v v24,(x10),v0.t
276c05e0|	vsseg8e32.v v24,(x10),v0.t
277c05e0|	vsseg8e64.v v24,(x10),v0.t
07040523|	vlseg2e8ff.v v8,(x10)
07540523|	vlseg2e16ff.v v8,(x10)
07640523|	vlseg2e32ff.v v8,(x10)
07740523|	vlseg2e64ff.v v8,(x10)
07040521|	vlseg2e8ff.v v8,(x10),v0.t
07540521|	vlseg2e16ff.v v8,(x10),v0.t
07640521|	vlseg2e32ff.v v8,(x10),v0.t
07740521|	vlseg2e64ff.v v8,(x10),v0.t
07040543|	vlseg3e8ff.v v8,(x10)
07540543|	vlseg3e16ff.v v8,(x10)
07640543|	vlseg3e32ff.v v8,(x10)
07740543|	vlseg3e64ff.v v8,(x10)
07040541|	vlseg3e8ff.v v8,(x10),v0.t
07540541|	vlseg3e16ff.v v8,(x10),v0.t
07640541|	vlseg3e32ff.v v8,(x10),v0.t
07740541|	vlseg3e64ff.v v8,(x10),v0.t
07040563|	vlseg4e8ff.v v8,(x10)
07540563|	vlseg4e16ff.v v8,(x10)
07640563|	vlseg4e32ff.v v8,(x10)
07740563|	vlseg4e64ff.v v8,(x10)
07040561|	vlseg4e8ff.v v8,(x10),v0.t
07540561|	vlseg4e16ff.v v8,(x10),v0.t
07640561|	vlseg4e32ff.v v8,(x10),v0.t
07740561|	vlseg4e64ff.v v8,(x10),v0.t
07040583|	vlseg5e8ff.v v8,(x10)
07540583|	vlseg5e16ff.v v8,(x10)
07640583|	vlseg5e32ff.v v8,(x10)
07740583|	vlseg5e64ff.v v8,(x10)
07040581|	vlseg5e8ff.v v8,(x10),v0.t
07540581|	vlseg5e16ff.v v8,(x10),v0.t
07640581|	vlseg5e32ff.v v8,(x10),v0.t
07740581|	vlseg5e64ff.v v8,(x10),v0.t
070405a3|	vlseg6e8ff.v v8,(x10)
075405a3|	vlseg6e16ff.v v8,(x10)
076405a3|	vlseg6e32ff.v v8,(x10)
077405a3|	vlseg6e64ff.v v8,(x10)
070405a1|	vlseg6e8ff.v v8,(x10),v0.t
075405a1|	vlseg6e16ff.v v8,(x10),v0.t
076405a1|	vlseg6e32ff.v v8,(x10),v0.t
077405a1|	vlseg6e64ff.v v8,(x10),v0.t
070405c3|	vlseg7e8ff.v v8,(x10)
075405c3|	vlseg7e16ff.v v8,(x10)
076405c3|	vlseg7e32ff.v v8,(x10)
077405c3|	vlseg7e64ff.v v8,(x10)
070405c1|	vlseg7e8ff.v v8,(x10),v0.t
075405c1|	vlseg7e16ff.v v8,(x10),v0.t
076405c1|	vlseg7e32ff.v v8,(x10),v0.t
077405c1|	vlseg7e64ff.v v8,(x10),v0.t
070405e3|	vlseg8e8ff.v v8,(x10)
075405e3|	vlseg8e16ff.v v8,(x10)
076405e3|	vlseg8e32ff.v v8,(x10)
